51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
50.443556 16.249667 1 Maja 25A, 57-350 Kudowa-Zdrój
51.206745 16.180519 Stanisława Moniuszki 2, 59-220 Legnica
51.04807 16.960276 Czekoladowa 9, 55-040 Bielany Wrocławskie
51.2611373 15.5812306 aleja Tysiąclecia 26, 59-700 Bolesławiec
50.783062 16.036734 aleja Wojska Polskiego 21, 58-400 Kamienna Góra
51.2620481 15.5986212 Główna 1A, 59-700 Kruszyn
51.0828997 17.0360174 Żegiestowska 1, 50-542 Wrocław
51.10376565 17.0524013 ul. Walońska 17, 50-413 Wrocław
50.785266 16.251949 Ratuszowa 6, 58-304 Wałbrzych
51.505519 16.064973 Młyńska 4, 59-100 Polkowice
51.094791 17.028638 Komandorska 66, 53-342 Wrocław
51.051618 16.972197 Francuska 6, 55-075 Bielany Wrocławskie
51.186196 16.171504 Roberta Schumana 11, 59-200 Legnica
50.822203 16.288844 Henryka Wieniawskiego 19, 58-300 Wałbrzych
51.063007 16.999406 al. Karkonoska 47, 53-015 Wrocław
51.13636067 17.08058422 Brucknera 38, 51-411 Wrocław
51.13909053 17.08161493 Brucknera 54, 51-411 Wrocław
51.0835 17.0511 Aleja Armii Krajowej 46, 50-541 Wrocław 46, 50-541 Wrocław
51.0501474 16.198675 Piłsudskiego 9, 59-400 Jawor
51.1746225 16.1704621 Jaworzyńska 257, 59-220 Legnica
51.1989719 16.2119218 Sikorskiego 3, 59-220 Legnica
50.7123083 16.0038562 Esperantystów 1, 59-800 Lubań
51.5270181 17.2772268 Armii Krajowej 56, 56-300 Milicz
50.9505822 17.27865399 Kutrowskieego 48, 55-200 Oława
51.5830179 15.9539103 Mechaniczna 1G, 59-160 Radawanice
50.85647567 16.48513429 Henryka Pobożnego 3, 58-100 Świdnica
50.8550546 16.5124852 Przemysłowa 1a, 58-100 Świdnica
50.84959 16.474104 Zamenhofa 10, 58-100 Świdnica
50.864886 16.319693 Łączna 43, 58-160 Świebodzice
51.0299253 17.1210593 Wojska Polskiego 12A, 86-105 Świecie
51.1020887 17.1169667 Bacciarellego 56, 51-649 Wrocław
51.0961874 16.9345041 Gagarina 19, 54-620 Wrocław
51.1177731 16.9452458 Rogowska 119, 54-440 Wrocław
51.049855 17.0585819 Sarnia 1, 52-129 Wrocław
51.1231686 16.9255147 Żernicka 207, 54-510 Wrocław
50.6040118 17.04388 Stawowa 2B, 57-220 Ziębice
51.11272819 17.02496865 Wszystkich Świętych 25, 50-136 Wrocław
50.505306 16.403592 Bolesława Chrobrego 9, 57-420 Radków
51.095945 17.021727 Powstańców Śląskich 15-17, 53-332 Wrocław
51.20797 16.1347931 Chojnowska 150, 59-220 Legnica
51.244403 15.043864 Dąbrowskiego -, 59-930 Pieńsk
50.815085 15.429853 Jakuszyce 8, 58-580 Szklarska Poręba
51.099016 17.03841 Piłsudskiego 105 105, 50-085 Wrocław
51.162378 15.02874 Słowiańska 7, 59-900 Zgorzelec
51.023196 16.760833 Handlowa 4, 55-080 Kąty Wrocławskie
51.338024 15.631673 Lipiany 34, 59-700 Bolesławiec
51.02392526 17.15307316 Opolska 36, 55-011 Siechnice
50.945891 14.915059 Młodych Energetyków 12, 59-916 Bogatynia
51.309684 15.724304 RÓŻYNIEC 85, 59-706 GROMADKA
51.0195 16.9039 ul. Rozwoju 3, 55-040 Biskupice Podgórne
51.02660702 14.94640917 Krzewina 1, 59-916 Krzewina
51.107318 16.948437 Graniczna 2, 54-610 Wrocław
51.206986 16.153116 Chojnowska 41, 59-220 Legnica
51.207384 16.190982 Marsa 30, 59-220 Legnica
51.108361 17.040444 plac Dominikański 3, 50-159 Wrocław
51.389942 16.216531 Prof. J. Zwierzyckiego 3, 59-300 Lubin
50.84041 16.497023 Westerplatte 29, 58-100 Świdnica
50.452213 16.637201 Noworudzka 2, 57-300 Kłodzko
50.766219 16.265977 1 maja 64, 58-300 Wałbrzych
51.20848 16.181638 Gwiezdna 4, 59-220 Legnica
50.402187 16.391393 ul. Fryderyka Chopina dz. nr 290/24 -, 57-340 Duszniki Zdrój
51.3350899 16.6476593 Rynek 34, 56-100 Wołów
51.1099537 16.8818639 Graniczna 190, 54-530 Wrocław
51.0987019 17.0263055 Powstańców Śląskich 7, 53-332 Wrocław
51.1586667 15.014916 ul. Lubańska 9a, 59-900 Zgorzelec
51.1049996 17.0466645 Haukego-Bosaka 22, 50-447 Wrocław
51.303789 17.754843 Szosa Kępińska 81, 56-500 Syców
50.894826 15.746547 Sudecka 63, 58-500 Jelenia Góra
50.77181 15.763182 Obrońców Pokoju 5, 58-540 Karpacz
50.413579 16.503095 Górska 2, 57-320 Polanica-Zdrój
50.737989 16.794275 Gola Dzierżoniowska 21, 58-217 Gola Dzierżoniowska
51.2613319 15.5720309 Popiełuszki 2, 59-700 Bolesławiec
51.046585 16.961297 Czekoladowa 5, 55-040 Bielany Wrocławskie
51.0478848 16.9552799 Czekoladowa 5, 55-040 Bielany Wrocławskie
51.176876 15.033013 DK94 98b, 59-900 Jędrzychowice, Poland DK94, 59-900 Jędrzychowice
50.881 15.632556 Jeleniogórska 36, 58-560 Wojcieszyce
50.47511706 16.34123492 Karłów 6A, 57-350 Karłów
51.09272833 17.03176667 Sieradzka 7, 50-568 Wrocław
51.1221721 16.9895731 Legnicka 62, 54-204 Wrocław
50.7756907 17.0791162 Kazimierza Pułaskiego 2, 57-100 Strzelin
51.109158 17.025643 Kazimierza Wielkiego -, 50-043 Wrocław
51.303211 15.726711 Osła 1H, 59-706 Osła
51.408798 16.197661 Marii Skłodowskiej-Curie 48, 59-301 Lubin
51.435552 16.156082 Marii Skłodowskiej-Curie 182 _, 59-301 Lubin
51.188056 16.121667 KGHM, ul. Złotoryjska 194 _, 59-223 Legnica
